STATIONING (ft),LATITUDE,LONGITUDE,PS_ON,PS_OFF,COMMENTS
1277.5,39.4989128,-93.3395844,-0.558,-0.533,
1280,39.4989166,-93.3395615,-0.555,-0.535,
1282.5,39.4989128,-93.3395538,-0.697,-0.649,
1285,39.4989128,-93.3395462,-0.536,-0.508,3' 9'
1287.5,39.4989128,-93.3395386,-0.522,-0.511,
1290,39.4989166,-93.3395233,-0.548,-0.524,
1292.5,39.4989014,-93.3394928,-0.555,-0.537,
1295,39.4989052,-93.3394699,-0.509,-0.493,hb offset 10'
1297.5,39.4989014,-93.3394699,-0.531,-0.519,
1300,39.4989052,-93.3394623,-0.54,-0.527,
1302.5,39.4989052,-93.3394546,-0.532,-0.518,
1305,39.4988937,-93.3394318,-0.543,-0.541,
1307.5,39.4989014,-93.3394241,-0.541,-0.544,
1310,39.4989052,-93.3394165,-0.547,-0.544,
1312.5,39.4989128,-93.3394089,-0.534,-0.524,
1315,39.498909,-93.3394012,-0.537,-0.535,
1317.5,39.498909,-93.3393936,-0.588,-0.553,
1320,39.4988976,-93.339386,-0.54,-0.531,end offset
1322.5,39.4988976,-93.3393784,-0.537,-0.53,
1325,39.4988899,-93.3393478,-0.542,-0.525,
1327.5,39.4988899,-93.3393478,-0.539,-0.517,
1330,39.4988861,-93.3393326,-0.54,-0.527,
1332.5,39.4988861,-93.3393173,-0.557,-0.538,
1335,39.4988785,-93.3393097,-0.55,-0.551,
1337.5,39.4988823,-93.3392868,-0.537,-0.551,
1340,39.4988785,-93.3392792,-0.562,-0.528,
1342.5,39.4988747,-93.3392716,-0.554,-0.528,
1345,39.4988747,-93.3392487,-0.586,-0.532,
1347.5,39.4988785,-93.3392334,-0.53,-0.516,
1350,39.4988747,-93.3392334,-0.552,-0.523,
1352.5,39.4988708,-93.3392105,-0.547,-0.518,
1355,39.498867,-93.3392029,-0.547,-0.527,
1357.5,39.4988708,-93.3391876,-0.551,-0.534,
1360,39.4988632,-93.3391724,-0.548,-0.513,
1362.5,39.498867,-93.3391724,-0.534,-0.529,
1365,39.498867,-93.3391647,-0.559,-0.55,
1367.5,39.4988632,-93.3391495,-0.513,-0.494,
1370,39.4988556,-93.3391418,-0.511,-0.499,
1372.5,39.4988518,-93.3391113,-0.545,-0.506,
1375,39.4988441,-93.3390961,-0.5,-0.491,
1377.5,39.4988441,-93.3390884,-0.511,-0.494,
1380,39.4988403,-93.3390808,-0.536,-0.5,
1382.5,39.4988403,-93.3390579,-0.483,-0.475,
1385,39.4988289,-93.3390579,-0.49,-0.485,
1387.5,39.4988251,-93.339035,-0.476,-0.423,
1390,39.4988251,-93.3390122,-0.483,-0.476,
1392.5,39.4988289,-93.3390045,-0.501,-0.484,
1395,39.4988327,-93.3389969,-0.489,-0.475,
1397.5,39.4988327,-93.3389816,-0.488,-0.484,
1400,39.4988251,-93.3389664,-0.524,-0.505,
1402.5,39.4988251,-93.3389435,-0.508,-0.498,
1405,39.4988251,-93.3389282,-0.525,-0.509,
1407.5,39.4988174,-93.338913,-0.512,-0.502,
1410,39.4988213,-93.3388977,-0.507,-0.506,
1412.5,39.4988174,-93.3388824,-0.498,-0.494,
1415,39.4988174,-93.3388748,-0.5,-0.486,
1417.5,39.4988174,-93.3388519,-0.515,-0.495,
1420,39.4988098,-93.3388443,-0.503,-0.486,
1422.5,39.498806,-93.338829,-0.523,-0.495,
1425,39.4988022,-93.3388214,-0.508,-0.478,
1427.5,39.4988022,-93.3388062,-0.474,-0.464,
1430,39.4988098,-93.3387909,-0.491,-0.471,
1432.5,39.498806,-93.3387833,-0.529,-0.414,
1435,39.498806,-93.3387756,-0.473,-0.459,
1437.5,39.498806,-93.3387604,-0.488,-0.479,
1440,39.4988022,-93.3387451,-0.446,-0.435,
1442.5,39.4988022,-93.3387299,-0.465,-0.438,
1445,39.4988022,-93.3387146,-0.454,-0.44,
1447.5,39.4987984,-93.3386993,-0.477,-0.48,
1450,39.4987946,-93.3386841,-0.475,-0.474,
1452.5,39.4987831,-93.3386536,-0.499,-0.47,
1455,39.4987869,-93.3386536,-0.517,-0.478,
1457.5,39.4987869,-93.3386459,-0.502,-0.484,
1460,39.4987793,-93.3386307,-0.481,-0.466,
1462.5,39.4987793,-93.3386154,-0.478,-0.46,
1465,39.4987793,-93.3386078,-0.514,-0.484,
1467.5,39.4987793,-93.3386002,-0.512,-0.504,
1470,39.4987869,-93.3385773,-0.493,-0.459,
1472.5,39.4987869,-93.3385544,-0.507,-0.487,
1475,39.4987793,-93.3385391,-0.452,-0.441,
1477.5,39.4987793,-93.3385315,-0.487,-0.481,
1480,39.4987831,-93.3385239,-0.513,-0.493,
1482.5,39.4987831,-93.338501,-0.454,-0.42,
1485,39.4987793,-93.3384857,-0.485,-0.476,
1487.5,39.4987793,-93.3384705,-0.475,-0.415,
1490,39.4987717,-93.3384552,-0.464,-0.453,
1492.5,39.4987678,-93.3384476,-0.504,-0.491,
1495,39.4987678,-93.3384247,-0.464,-0.454,
1497.5,39.4987678,-93.338417,-0.471,-0.456,
1500,39.4987602,-93.3384018,-0.467,-0.455,
1502.5,39.4987526,-93.3383865,-0.47,-0.45,
1505,39.4987526,-93.3383713,-0.45,-0.436,
1507.5,39.4987564,-93.3383636,-0.485,-0.458,
1510,39.4987564,-93.3383408,-0.461,-0.44,
1512.5,39.4987526,-93.3383331,-0.499,-0.489,
1515,39.4987526,-93.3383102,-0.463,-0.45,
1517.5,39.4987564,-93.3383026,-0.484,-0.466,
1520,39.4987488,-93.3382721,-0.534,-0.475,
1522.5,39.4987412,-93.3382645,-0.475,-0.452,
1525,39.4987488,-93.3381424,-0.484,-0.466,
1527.5,39.4987564,-93.3381195,-0.526,-0.5,
1530,39.4987488,-93.3381119,-0.552,-0.534,
1532.5,39.4987488,-93.3380966,-0.558,-0.525,
1535,39.4987488,-93.3380737,-0.518,-0.509,
1537.5,39.4987526,-93.3380356,-0.524,-0.514,
1540,39.4987488,-93.3380051,-0.536,-0.526,
1542.5,39.498745,-93.3379746,-0.568,-0.519,
1545,39.4987373,-93.3379517,-0.53,-0.513,
1547.5,39.4987297,-93.3379211,-0.532,-0.518,
1550,39.4987297,-93.3378906,-0.502,-0.503,
1552.5,39.4987259,-93.3378754,-0.526,-0.524,
1555,39.4987221,-93.3378601,-0.533,-0.508,
1557.5,39.4987144,-93.3378448,-0.538,-0.527,4'
1560,39.498703,-93.337822,-0.551,-0.533,
1562.5,39.4986954,-93.3377991,-0.534,-0.508,
1565,39.4986992,-93.3377686,-0.538,-0.508,
1567.5,39.4987068,-93.337738,-0.54,-0.525,
1570,39.498703,-93.3377075,-0.535,-0.542,
1572.5,39.4986992,-93.337677,-0.535,-0.522,
1575,39.4986916,-93.3376541,-0.574,-0.556,
1577.5,39.4986763,-93.3376312,-0.553,-0.53,
1580,39.498661,-93.3375931,-0.545,-0.528,
1582.5,39.4986496,-93.3375473,-0.546,-0.53,
1585,39.4986496,-93.3375168,-0.538,-0.53,
1587.5,39.498642,-93.3374863,-0.546,-0.532,
1590,39.4986382,-93.3374481,-0.541,-0.527,
1592.5,39.498642,-93.3374176,-0.513,-0.501,
1595,39.4986496,-93.3373718,-0.514,-0.507,
1597.5,39.4986458,-93.3373337,-0.534,-0.521,
1600,39.4986572,-93.3373108,-0.547,-0.522,
1602.5,39.4986534,-93.3372574,-0.52,-0.51,
1605,39.498642,-93.337204,-0.501,-0.495,
1607.5,39.4986343,-93.3371735,-0.505,-0.498,
1610,39.4986305,-93.3371582,-0.511,-0.497,
1612.5,39.4986305,-93.3371353,-0.514,-0.493,
1615,39.4986343,-93.3371048,-0.494,-0.495,
1617.5,39.4986305,-93.3370743,-0.503,-0.484,
1620,39.4986114,-93.3370361,-0.505,-0.473,
1622.5,39.4985962,-93.336998,-0.504,-0.485,
1625,39.4985886,-93.3369446,-0.53,-0.511,
1627.5,39.4985809,-93.3369141,-0.507,-0.482,
1630,39.4985809,-93.3368835,-0.539,-0.51,
1632.5,39.4985809,-93.3368454,-0.489,-0.48,
1635,39.4985771,-93.3368301,-0.513,-0.497,
1637.5,39.4985733,-93.3368073,-0.535,-0.519,
1640,39.4985657,-93.3367538,-0.533,-0.512,
1642.5,39.4985619,-93.3367615,-0.516,-0.482,
1645,39.498558,-93.336731,-0.521,-0.516,
1647.5,39.4985542,-93.3367081,-0.541,-0.534,
1650,39.4985466,-93.3366699,-0.502,-0.493,
1652.5,39.498539,-93.3366165,-0.508,-0.492,
1655,39.4985352,-93.3366013,-0.515,-0.488,
1657.5,39.4985237,-93.3365784,-0.464,-0.458,
1660,39.4985161,-93.3365555,-0.464,-0.474,
1662.5,39.4985237,-93.3365478,-0.466,-0.448,
1665,39.4985275,-93.3365173,-0.433,-0.421,
1667.5,39.4985275,-93.3364944,-0.466,-0.459,
1670,39.4985237,-93.3364792,-0.486,-0.48,
1672.5,39.4985123,-93.3364563,-0.508,-0.501,
1675,39.4985046,-93.3364334,-0.499,-0.498,
1677.5,39.4985084,-93.3364029,-0.498,-0.496,
1680,39.4985084,-93.3363876,-0.456,-0.45,
1682.5,39.4985084,-93.3363724,-0.504,-0.491,
1685,39.4985123,-93.3363419,-0.465,-0.456,
1687.5,39.4985008,-93.3363113,-0.49,-0.471,
1690,39.4984932,-93.3362884,-0.497,-0.486,
1692.5,39.4984894,-93.3362732,-0.522,-0.505,
1695,39.4984894,-93.3362427,-0.501,-0.459,
1697.5,39.4984894,-93.3362122,-0.48,-0.468,
1700,39.4984856,-93.3361893,-0.479,-0.468,
1702.5,39.4984818,-93.3361664,-0.484,-0.479,
1705,39.4984703,-93.3361359,-0.47,-0.456,
1707.5,39.4984741,-93.3361054,-0.494,-0.474,
1710,39.4984665,-93.3360825,-0.481,-0.464,
1712.5,39.4984627,-93.3360519,-0.502,-0.494,
1715,39.4984627,-93.3360214,-0.53,-0.503,
1717.5,39.4984627,-93.3359909,-0.491,-0.48,
1720,39.498455,-93.3359604,-0.477,-0.462,
1722.5,39.4984474,-93.3359299,-0.495,-0.483,
1725,39.4984512,-93.3358994,-0.496,-0.484,
1727.5,39.4984512,-93.3358688,-0.485,-0.471,
1730,39.4984436,-93.3358307,-0.491,-0.483,
1732.5,39.498436,-93.3358078,-0.487,-0.485,
1735,39.4984322,-93.3357696,-0.477,-0.48,
1737.5,39.4984245,-93.3357391,-0.545,-0.51,
1740,39.4984169,-93.3357239,-0.494,-0.475,
1742.5,39.4984131,-93.3356934,-0.5,-0.497,3'
1745,39.4984131,-93.3356628,-0.491,-0.486,
1747.5,39.4984093,-93.33564,-0.496,-0.487,
1750,39.4984016,-93.3356094,-0.506,-0.49,
1752.5,39.4984055,-93.3355789,-0.485,-0.484,
1755,39.4984016,-93.3355484,-0.516,-0.508,
1757.5,39.4984016,-93.3355179,-0.501,-0.495,
1760,39.4983978,-93.3354874,-0.517,-0.51,
1762.5,39.4983788,-93.3354797,-0.521,-0.501,
1765,39.4983788,-93.3354568,-0.498,-0.488,skip nest off set reads 20'
1767.5,39.4984093,-93.335434,-0.52,-0.501,
1770,39.4984283,-93.3354034,-0.495,-0.481,
1772.5,39.4984245,-93.3353729,-0.486,-0.474,
1775,39.4984245,-93.33535,-0.482,-0.452,
1777.5,39.4984283,-93.3353195,-0.489,-0.483,
1780,39.4984207,-93.335289,-0.476,-0.469,
1782.5,39.4984016,-93.3352585,-0.497,-0.486,
1785,39.4983864,-93.3352356,-0.476,-0.47,
1787.5,39.4983482,-93.3352203,-0.477,-0.468,end offset
1790,39.4983444,-93.3352127,-0.448,-0.432,
1792.5,39.4983406,-93.3351746,-0.448,-0.416,
1795,39.4983406,-93.335144,-0.438,-0.441,
1797.5,39.4983406,-93.3351212,-0.492,-0.485,
1800,39.498333,-93.3350983,-0.499,-0.487,
1802.5,39.4983292,-93.3350754,-0.472,-0.467,
1805,39.4983292,-93.3350449,-0.496,-0.484,
1807.5,39.4983254,-93.3350143,-0.517,-0.501,
1810,39.4983215,-93.3349762,-0.478,-0.47,
1812.5,39.4983063,-93.3349533,-0.495,-0.464,
1815,39.4983101,-93.3349228,-0.49,-0.465,
1817.5,39.4983101,-93.3348999,-0.461,-0.456,
1820,39.4983139,-93.3348694,-0.458,-0.456,
1822.5,39.4983063,-93.3348389,-0.416,-0.406,
1825,39.4983025,-93.3348084,-0.496,-0.492,
1827.5,39.4983025,-93.3347855,-0.503,-0.482,
1830,39.4983025,-93.3347702,-0.449,-0.431,
1832.5,39.498291,-93.3347473,-0.457,-0.44,
1835,39.4982834,-93.3347321,-0.498,-0.494,
1837.5,39.4982796,-93.3347092,-0.488,-0.477,3' 11'
1840,39.4982681,-93.3346786,-0.486,-0.476,
1842.5,39.4982605,-93.3346405,-0.491,-0.477,
1845,39.4982567,-93.3346252,-0.49,-0.476,
1847.5,39.4982529,-93.33461,-0.452,-0.451,
1850,39.4982605,-93.3345642,-0.469,-0.445,hb offset 40 ft
1852.5,39.4982681,-93.3345642,-0.456,-0.445,
1855,39.4982643,-93.3345413,-0.421,-0.411,
1857.5,39.4982681,-93.3345261,-0.475,-0.469,
1860,39.4982643,-93.3345108,-0.483,-0.466,
1862.5,39.4982719,-93.3344879,-0.487,-0.474,
1865,39.4982796,-93.3344498,-0.464,-0.451,
1867.5,39.4983063,-93.3344269,-0.456,-0.494,
1870,39.4983254,-93.3343811,-0.469,-0.456,
1872.5,39.4983368,-93.3343811,-0.469,-0.463,
1875,39.4983597,-93.3343506,-0.476,-0.468,
1877.5,39.4983711,-93.3343201,-0.52,-0.512,
1880,39.4983635,-93.3343124,-0.55,-0.538,
1882.5,39.4983597,-93.3342667,-0.59,-0.554,
1885,39.4983749,-93.3342819,-0.525,-0.51,skip
1887.5,39.4981804,-93.3340454,-0.475,-0.474,end skip other side of creek
1890,39.4981842,-93.3340454,-0.499,-0.489,
1892.5,39.4981918,-93.3340378,-0.493,-0.487,offset due to bees
1895,39.4982185,-93.3340073,-0.475,-0.465,
1897.5,39.49823,-93.3339844,-0.494,-0.487,
1900,39.4982338,-93.3339615,-0.486,-0.485,
1902.5,39.4982452,-93.3339386,-0.504,-0.491,
1905,39.4982529,-93.3339157,-0.51,-0.503,
1907.5,39.4982567,-93.3338928,-0.5,-0.493,
1910,39.4982643,-93.3338776,-0.504,-0.481,
1912.5,39.4982605,-93.3338623,-0.49,-0.48,
1915,39.4982681,-93.3338318,-0.492,-0.485,
1917.5,39.4982529,-93.3338165,-0.509,-0.503,
1920,39.4982414,-93.3338013,-0.503,-0.492,
1922.5,39.4982376,-93.3337784,-0.521,-0.511,
1925,39.4982414,-93.3337555,-0.503,-0.498,
1927.5,39.4982414,-93.333725,-0.494,-0.488,
1930,39.4981384,-93.3337021,-0.492,-0.488,end offset
1932.5,39.4981384,-93.3336639,-0.536,-0.529,
1935,39.4981461,-93.3336639,-0.488,-0.477,
1937.5,39.4981422,-93.333641,-0.517,-0.506,
1940,39.4980774,-93.3336487,-0.503,-0.479,offset 20 ft hb
1942.5,39.4980774,-93.3336334,-0.531,-0.523,
1945,39.4980698,-93.3336029,-0.536,-0.521,
1947.5,39.4980736,-93.33358,-0.517,-0.506,
1950,39.4980736,-93.333519,-0.49,-0.48,end offset
1952.5,39.4980774,-93.3334961,-0.491,-0.465,
1955,39.4980736,-93.3334656,-0.528,-0.51,
1957.5,39.4980736,-93.3334427,-0.477,-0.473,
1960,39.4980736,-93.3334274,-0.517,-0.503,
1962.5,39.4980736,-93.3333969,-0.494,-0.49,
1965,39.4980698,-93.333374,-0.481,-0.471,
1967.5,39.4980736,-93.3333511,-0.514,-0.471,
1970,39.4980812,-93.3333282,-0.489,-0.471,
1972.5,39.4981003,-93.3333054,-0.475,-0.472,
1975,39.4981003,-93.3332825,-0.438,-0.423,
1977.5,39.4981079,-93.3332596,-0.465,-0.461,
1980,39.4981117,-93.3332367,-0.464,-0.457,
1982.5,39.4981155,-93.3332062,-0.461,-0.449,
1985,39.4981155,-93.3331909,-0.451,-0.446,
1987.5,39.4981232,-93.3331604,-0.444,-0.44,
1990,39.4981232,-93.3331375,-0.462,-0.461,
1992.5,39.4981155,-93.333107,-0.478,-0.472,
1995,39.4981155,-93.333107,-0.497,-0.503,
1997.5,39.4980736,-93.3330917,-0.344,-0.334,end hb and offset start cultivated fieil
2000,39.4980621,-93.3330765,-0.527,-0.49,
2002.5,39.4980545,-93.3330612,-0.484,-0.489,
2005,39.4980507,-93.3330383,-0.517,-0.514,
2007.5,39.4980431,-93.3330154,-0.536,-0.532,
2010,39.4980392,-93.3329926,-0.561,-0.48,
2012.5,39.4980392,-93.3329697,-0.506,-0.507,
2015,39.4980316,-93.3329392,-0.524,-0.518,
2017.5,39.4980316,-93.332901,-0.516,-0.516,
2020,39.4980278,-93.3328781,-0.517,-0.506,
2022.5,39.498024,-93.3328552,-0.531,-0.525,
2025,39.4980278,-93.3328247,-0.496,-0.503,
2027.5,39.4980011,-93.3328094,-0.512,-0.513,
2030,39.4980087,-93.3327866,-0.568,-0.546,
2032.5,39.4980049,-93.332756,-0.496,-0.492,
2035,39.4980011,-93.3327255,-0.466,-0.464,
2037.5,39.4979935,-93.332695,-0.479,-0.474,
2040,39.4979782,-93.3326721,-0.498,-0.487,
2042.5,39.4979782,-93.3326492,-0.472,-0.47,
2045,39.497982,-93.3326187,-0.508,-0.485,
2047.5,39.497982,-93.3325958,-0.496,-0.482,
2050,39.4979782,-93.3325729,-0.498,-0.497,
2052.5,39.4979706,-93.33255,-0.488,-0.478,
2055,39.4979744,-93.3325348,-0.475,-0.473,
2057.5,39.4979744,-93.3325043,-0.473,-0.472,
2060,39.4979744,-93.3324814,-0.478,-0.472,
2062.5,39.4979744,-93.3324585,-0.469,-0.464,
2065,39.4979706,-93.3324432,-0.473,-0.471,
2067.5,39.4979668,-93.3324204,-0.453,-0.447,
2070,39.4979668,-93.3324051,-0.463,-0.463,
2072.5,39.4979591,-93.3323669,-0.43,-0.443,
2075,39.4979477,-93.3323517,-0.454,-0.459,
2077.5,39.4979515,-93.3323212,-0.462,-0.461,
2080,39.4979553,-93.3322983,-0.491,-0.447,
2082.5,39.497963,-93.3322983,-0.472,-0.483,3' 6'
2085,39.4979553,-93.3322678,-0.455,-0.457,
2087.5,39.4979477,-93.3322449,-0.4,-0.43,
2090,39.4979439,-93.332222,-0.391,-0.398,
2092.5,39.4979439,-93.3322067,-0.395,-0.402,
2095,39.4979515,-93.3321838,-0.405,-0.413,
2097.5,39.4979515,-93.332161,-0.391,-0.397,
2100,39.4979439,-93.3321228,-0.38,-0.399,
2102.5,39.4979439,-93.3320999,-0.399,-0.402,
2105,39.4979401,-93.3320694,-0.383,-0.38,
2107.5,39.4979362,-93.3320389,-0.317,-0.285,
2110,39.4979362,-93.332016,-0.295,-0.323,
2112.5,39.497921,-93.3319931,-0.324,-0.324,
2115,39.4979172,-93.3319702,-0.33,-0.335,
2117.5,39.4979096,-93.3319397,-0.331,-0.384,
2120,39.4979057,-93.3319168,-0.345,-0.371,
2122.5,39.4979019,-93.3318939,-0.32,-0.327,
2125,39.4979019,-93.3318787,-0.304,-0.313,
2127.5,39.4978943,-93.3318405,-0.256,-0.272,
2130,39.4978828,-93.3318253,-0.307,-0.305,
2132.5,39.4978828,-93.3318024,-0.321,-0.327,
2135,39.4978828,-93.3317871,-0.308,-0.322,
2137.5,39.4978828,-93.3317642,-0.33,-0.337,
2140,39.4978752,-93.3317413,-0.305,-0.314,
2142.5,39.497879,-93.3317184,-0.33,-0.326,
2145,39.497879,-93.3316879,-0.444,-0.429,
2147.5,39.4978867,-93.3316498,-0.44,-0.427,
2150,39.4978867,-93.3316498,-0.437,-0.422,
2152.5,39.4978828,-93.3316345,-0.431,-0.418,
2155,39.4978828,-93.3316193,-0.424,-0.412,
2157.5,39.4978828,-93.331604,-0.42,-0.408,
2160,39.4978828,-93.3315811,-0.415,-0.403,
2162.5,39.497879,-93.3315506,-0.408,-0.397,
2165,39.4978752,-93.3315277,-0.412,-0.408,
2167.5,39.4978752,-93.3315124,-0.431,-0.418,
2170,39.4978752,-93.3314896,-0.445,-0.437,
2172.5,39.4978714,-93.3314514,-0.448,-0.434,
2175,39.4978638,-93.3314285,-0.444,-0.43,
2177.5,39.49786,-93.3314056,-0.446,-0.432,
2180,39.49786,-93.3314056,-0.446,-0.416,
2182.5,39.4978561,-93.3313599,-0.44,-0.428,
2185,39.49786,-93.3313522,-0.437,-0.423,
2187.5,39.4978561,-93.3313294,-0.441,-0.426,
2190,39.4978523,-93.3312988,-0.434,-0.419,
2192.5,39.4978485,-93.3312759,-0.431,-0.418,
2195,39.4978447,-93.331253,-0.425,-0.411,
2197.5,39.4978447,-93.3312378,-0.408,-0.396,
2200,39.4978447,-93.3312149,-0.403,-0.392,
2202.5,39.4978371,-93.3312073,-0.408,-0.395,
2205,39.4978371,-93.3311768,-0.413,-0.401,
2207.5,39.4978371,-93.3311539,-0.421,-0.409,
2210,39.4978294,-93.3311234,-0.44,-0.427,
2212.5,39.4978256,-93.3310928,-0.427,-0.414,
2215,39.4978218,-93.3310776,-0.413,-0.4,
2217.5,39.4978142,-93.3310547,-0.401,-0.394,
2220,39.4978104,-93.3310394,-0.424,-0.413,
2222.5,39.4978027,-93.3310165,-0.444,-0.43,
2225,39.4978027,-93.3309936,-0.46,-0.445,
2227.5,39.4977913,-93.3309708,-0.478,-0.46,
2230,39.4977913,-93.3309326,-0.474,-0.457,
2232.5,39.4977875,-93.3309021,-0.476,-0.46,
2235,39.4977913,-93.3308868,-0.464,-0.449,
2237.5,39.4977837,-93.3308716,-0.47,-0.463,
2240,39.4977798,-93.3308334,-0.488,-0.47,
2242.5,39.4977798,-93.3308182,-0.502,-0.483,
2245,39.4977798,-93.3308029,-0.526,-0.506,
2247.5,39.497776,-93.3307724,-0.545,-0.526,
2250,39.4977722,-93.3307571,-0.567,-0.539,
2252.5,39.4977722,-93.3307419,-0.589,-0.563,
2255,39.4977722,-93.330719,-0.604,-0.577,
2257.5,39.4977684,-93.3306961,-0.609,-0.583,
2260,39.4977646,-93.3306732,-0.607,-0.577,
2262.5,39.4977646,-93.3306503,-0.62,-0.591,
2265,39.4977608,-93.3306198,-0.564,-0.592,
2267.5,39.497757,-93.3305969,-0.634,-0.603,
2270,39.497757,-93.3305817,-0.641,-0.608,
2272.5,39.4977531,-93.3305588,-0.645,-0.616,
2275,39.4977493,-93.3305359,-0.65,-0.613,
2277.5,39.4977455,-93.330513,-0.652,-0.619,
2280,39.4977379,-93.3304901,-0.658,-0.624,
2282.5,39.4977379,-93.3304901,-0.665,-0.63,
2285,39.4977341,-93.3304748,-0.662,-0.628,
2287.5,39.4977341,-93.3304672,-0.664,-0.631,
2290,39.4977341,-93.3304596,-0.665,-0.633,
2292.5,39.4977341,-93.330452,-0.669,-0.636,
2295,39.4977303,-93.3304214,-0.676,-0.642,
2297.5,39.4977264,-93.3304062,-0.682,-0.647,
2300,39.4977226,-93.3303833,-0.677,-0.643,
2302.5,39.4977188,-93.330368,-0.679,-0.645,
2305,39.4977112,-93.3303528,-0.686,-0.652,
2307.5,39.4977112,-93.3303299,-0.691,-0.657,
2310,39.497715,-93.330307,-0.685,-0.651,
2312.5,39.497715,-93.3302841,-0.695,-0.66,
2315,39.4977112,-93.3302689,-0.699,-0.663,
2317.5,39.4977074,-93.3302536,-0.699,-0.664,
2320,39.4977112,-93.3302231,-0.7,-0.664,
2322.5,39.4977112,-93.3302154,-0.708,-0.673,
2325,39.4977036,-93.3301926,-0.705,-0.668,
2327.5,39.4977036,-93.3301773,-0.701,-0.664,
2330,39.4976997,-93.3301468,-0.71,-0.672,
2332.5,39.4976959,-93.3301239,-0.706,-0.669,
2335,39.4976921,-93.330101,-0.713,-0.674,
2337.5,39.4976959,-93.3300858,-0.713,-0.675,
2340,39.4976959,-93.3300781,-0.715,-0.678,
2342.5,39.4976959,-93.3300629,-0.716,-0.678,
2345,39.4976921,-93.3300476,-0.712,-0.683,
2347.5,39.4976883,-93.3300247,-0.723,-0.686,
2350,39.4976807,-93.3300171,-0.723,-0.684,
2352.5,39.4976807,-93.3299942,-0.712,-0.677,
2355,39.4976768,-93.3299713,-0.724,-0.689,
2357.5,39.4976692,-93.3299637,-0.72,-0.685,
2360,39.4976692,-93.3299408,-0.723,-0.687,
2362.5,39.4976654,-93.3299255,-0.727,-0.691,
2365,39.4976654,-93.3299026,-0.732,-0.697,
2367.5,39.4976654,-93.3298874,-0.73,-0.694,
2370,39.4976578,-93.3298721,-0.734,-0.699,
2372.5,39.4976578,-93.3298492,-0.731,-0.7,
2375,39.4976578,-93.3298187,-0.737,-0.705,
2377.5,39.497654,-93.3298035,-0.735,-0.699,
2380,39.497654,-93.3297806,-0.733,-0.697,
2382.5,39.497654,-93.3297653,-0.736,-0.701,
2385,39.4976502,-93.3297424,-0.732,-0.7,
2387.5,39.4976463,-93.3297195,-0.708,-0.687,
2390,39.4976387,-93.3296967,-0.734,-0.699,
2392.5,39.4976349,-93.3296814,-0.728,-0.695,
2395,39.4976349,-93.3296661,-0.735,-0.689,
2397.5,39.4976349,-93.3296432,-0.71,-0.676,
2400,39.4976349,-93.3296204,-0.729,-0.697,
2402.5,39.4976311,-93.3295822,-0.736,-0.706,
2405,39.4976273,-93.3295593,-0.716,-0.686,
2407.5,39.4976196,-93.3295517,-0.725,-0.697,
2410,39.4976196,-93.3295364,-0.664,-0.641,
2412.5,39.4976196,-93.3295136,-0.729,-0.708,
2415,39.4976158,-93.329483,-0.74,-0.716,
2417.5,39.4976158,-93.3294678,-0.732,-0.708,
2420,39.497612,-93.3294601,-0.736,-0.71,
2422.5,39.4976044,-93.3294296,-0.715,-0.688,
2425,39.4975967,-93.3294144,-0.734,-0.709,
2427.5,39.4976044,-93.3293838,-0.739,-0.718,
2430,39.4976044,-93.329361,-0.7,-0.672,
2432.5,39.4976082,-93.3293457,-0.708,-0.679,
2435,39.4976044,-93.3293304,-0.731,-0.702,
2437.5,39.4975967,-93.3293076,-0.731,-0.682,
2440,39.4975967,-93.329277,-0.742,-0.713,
2442.5,39.4975967,-93.3292618,-0.722,-0.693,
2445,39.4975967,-93.3292618,-0.723,-0.694,
2447.5,39.4976044,-93.3292389,-0.748,-0.721,
2450,39.4976006,-93.329216,-0.754,-0.724,
2452.5,39.4975967,-93.3292084,-0.742,-0.71,
2455,39.4975929,-93.3291855,-0.72,-0.69,
2457.5,39.4975929,-93.3291626,-0.717,-0.685,
2460,39.4975967,-93.3291473,-0.753,-0.722,
2462.5,39.4975891,-93.3291244,-0.728,-0.686,
2465,39.4975929,-93.3290939,-0.725,-0.694,
2467.5,39.4975891,-93.329071,-0.747,-0.713,
2470,39.4975891,-93.3290482,-0.698,-0.662,
2472.5,39.4975929,-93.3290253,-0.733,-0.7,
2475,39.4975929,-93.3290024,-0.711,-0.676,
2477.5,39.4975891,-93.3289948,-0.698,-0.663,
2480,39.4975815,-93.3289642,-0.756,-0.722,
2482.5,39.4975777,-93.3289413,-0.661,-0.636,
2485,39.4975777,-93.3289261,-0.757,-0.723,
2487.5,39.4975738,-93.3289185,-0.76,-0.725,
2490,39.4975738,-93.3288956,-0.75,-0.719,
2492.5,39.49757,-93.3288727,-0.746,-0.711,
2495,39.4975738,-93.3288574,-0.744,-0.706,
2497.5,39.4975662,-93.3288345,-0.753,-0.715,
2500,39.4975624,-93.3288193,-0.753,-0.722,
2502.5,39.4975586,-93.3287964,-0.751,-0.72,
2505,39.4975548,-93.3287811,-0.757,-0.725,
2507.5,39.4975433,-93.3287506,-0.752,-0.721,
2510,39.4975472,-93.3287277,-0.753,-0.723,
2512.5,39.497551,-93.3287125,-0.761,-0.731,
2515,39.497551,-93.3286896,-0.756,-0.728,
2517.5,39.4975548,-93.3286591,-0.735,-0.711,
2520,39.4975586,-93.3286438,-0.758,-0.731,
